category_id,category_group,category_desc
4eb1bd1c3b7b55596b4a748f,Food,Filipino Restaurant
52e81612bcbc57f1066b79fb,Food,Himalayan Restaurant
52af0bd33cf9994f4e043bdd,Food,Hotpot Restaurant
4deefc054765f83613cdba6f,Food,Indonesian Restaurant
52960eda3cf9994f4e043ac9,Food,Acehnese Restaurant
52960eda3cf9994f4e043acb,Food,Balinese Restaurant
52960eda3cf9994f4e043aca,Food,Betawinese Restaurant
52960eda3cf9994f4e043acc,Food,Indonesian Meatball Place
52960eda3cf9994f4e043ac7,Food,Javanese Restaurant
52960eda3cf9994f4e043ac8,Food,Manadonese Restaurant
52960eda3cf9994f4e043ac5,Food,Padangnese Restaurant
52960eda3cf9994f4e043ac6,Food,Sundanese Restaurant
4bf58dd8d48988d111941735,Food,Japanese Restaurant
55a59bace4b013909087cb0c,Food,Donburi Restaurant
55a59bace4b013909087cb30,Food,Japanese Curry Restaurant
55a59bace4b013909087cb21,Food,Kaiseki Restaurant
55a59bace4b013909087cb06,Food,Kushikatsu Restaurant
55a59bace4b013909087cb1b,Food,Monjayaki Restaurant
55a59bace4b013909087cb1e,Food,Nabe Restaurant
55a59bace4b013909087cb18,Food,Okonomiyaki Restaurant
55a59bace4b013909087cb24,Food,Ramen Restaurant
55a59bace4b013909087cb15,Food,Shabu-Shabu Restaurant
55a59bace4b013909087cb27,Food,Soba Restaurant
55a59bace4b013909087cb12,Food,Sukiyaki Restaurant
4bf58dd8d48988d1d2941735,Food,Sushi Restaurant
55a59bace4b013909087cb2d,Food,Takoyaki Place
55a59a31e4b013909087cb00,Food,Tempura Restaurant
55a59af1e4b013909087cb03,Food,Tonkatsu Restaurant
55a59bace4b013909087cb2a,Food,Udon Restaurant
55a59bace4b013909087cb0f,Food,Unagi Restaurant
55a59bace4b013909087cb33,Food,Wagashi Place
55a59bace4b013909087cb09,Food,Yakitori Restaurant
55a59bace4b013909087cb36,Food,Yoshoku Restaurant
4bf58dd8d48988d113941735,Food,Korean Restaurant
56aa371be4b08b9a8d5734e4,Food,Bossam/Jokbal Restaurant
56aa371be4b08b9a8d5734f0,Food,Bunsik Restaurant
56aa371be4b08b9a8d5734e7,Food,Gukbap Restaurant
56aa371be4b08b9a8d5734ed,Food,Janguh Restaurant
56aa371be4b08b9a8d5734ea,Food,Samgyetang Restaurant
4bf58dd8d48988d156941735,Food,Malay Restaurant
5ae9595eb77c77002c2f9f26,Food,Mamak Restaurant
4eb1d5724b900d56c88a45fe,Food,Mongolian Restaurant
4bf58dd8d48988d1d1941735,Food,Noodle House
56aa371be4b08b9a8d57350e,Food,Satay Restaurant
4bf58dd8d48988d149941735,Food,Thai Restaurant
56aa371be4b08b9a8d573502,Food,Som Tum Restaurant
52af39fb3cf9994f4e043be9,Food,Tibetan Restaurant
4bf58dd8d48988d14a941735,Food,Vietnamese Restaurant
4bf58dd8d48988d169941735,Food,Australian Restaurant
